	stool.ASD.6.4	stool.ASD.7.1	stool.ASD.7.2	stool.ASD.7.3	stool.ASD.7.4	stool.ASD.12.2	stool.control.13S.1B	stool.control.13S.2	stool.ASD.14.1	stool.ASD.14.2	stool.control.15S.1	stool.control.15S.2	stool.control.15S.3	stool.control.15S.4	stool.ASD.22.1	stool.ASD.22.2	stool.ASD.22.3	stool.ASD.22.4	stool.ASD.24.1	stool.ASD.24.2	stool.ASD.27.1	stool.ASD.27.2	stool.ASD.27.4	stool.ASD.27.5	stool.control.28S.2	stool.control.28S.3	stool.control.30C.1	stool.control.30C.3	stool.control.30C.4	stool.control.30C.5	stool.control.31C.1	stool.control.31C.3	stool.control.32C.1	stool.control.32C.2.run2	stool.control.32C.3	stool.control.38C.1.ASU	stool.control.38C.2A	stool.control.39C.1	stool.control.39C.2	stool.control.39C.3	stool.control.39C.4	stool.control.40C.1	stool.control.40C.2	stool.control.40C.4	stool.control.40C.5
stool.control.31C.1	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.31C.3	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.32C.1	10.0	7.07106781187	7.14142842854	8.66025403784	5.83095189485	5.83095189485	5.0	5.0	6.5574385243	5.83095189485	7.07106781187	7.07106781187	8.66025403784	5.0	5.83095189485	5.0	5.0	4.0	5.0	5.0	5.09901951359	5.19615242271	6.5574385243	5.9160797831	5.09901951359	5.09901951359	5.83095189485	5.19615242271	4.12310562562	4.24264068712	5.0	5.0	0.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.83095189485	5.83095189485	5.09901951359	5.83095189485
stool.control.32C.2.run2	12.4899959968	5.83095189485	5.9160797831	9.53939201417	3.16227766017	3.16227766017	1.0	1.0	4.35889894354	3.16227766017	5.09901951359	5.09901951359	7.14142842854	1.0	3.16227766017	1.0	1.0	0.0	1.0	1.0	3.16227766017	1.73205080757	5.19615242271	4.35889894354	1.41421356237	1.41421356237	3.16227766017	1.73205080757	1.0	1.41421356237	1.0	1.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.16227766017	3.16227766017	1.41421356237	3.16227766017
stool.control.32C.3	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.38C.1.ASU	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.38C.2A	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.39C.1	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.39C.2	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.39C.3	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.39C.4	13.2287565553	5.9160797831	6.0	10.0	3.0	3.0	0.0	0.0	4.24264068712	3.0	5.0	5.0	7.07106781187	0.0	3.0	0.0	0.0	1.0	0.0	0.0	3.31662479036	1.41421356237	5.29150262213	4.472135955	1.0	1.0	3.0	1.41421356237	1.41421356237	1.73205080757	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0
stool.control.40C.1	12.409673646	6.63324958071	6.2449979984	8.88819441732	4.24264068712	4.24264068712	3.0	3.0	3.0	0.0	5.83095189485	5.83095189485	5.38516480713	3.0	0.0	3.0	3.0	3.16227766017	3.0	3.0	1.41421356237	3.31662479036	4.35889894354	3.31662479036	2.0	3.16227766017	4.24264068712	2.2360679775	2.2360679775	2.44948974278	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	2.0	0.0
stool.control.40C.2	12.409673646	6.63324958071	6.2449979984	8.88819441732	4.24264068712	4.24264068712	3.0	3.0	3.0	0.0	5.83095189485	5.83095189485	5.38516480713	3.0	0.0	3.0	3.0	3.16227766017	3.0	3.0	1.41421356237	3.31662479036	4.35889894354	3.31662479036	2.0	3.16227766017	4.24264068712	2.2360679775	2.2360679775	2.44948974278	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	2.0	0.0
stool.control.40C.4	12.8840987267	6.0	5.9160797831	9.53939201417	3.16227766017	3.16227766017	1.0	1.0	3.60555127546	2.0	5.09901951359	5.09901951359	6.40312423743	1.0	2.0	1.0	1.0	1.41421356237	1.0	1.0	2.44948974278	1.73205080757	4.79583152331	3.87298334621	0.0	1.41421356237	3.16227766017	1.0	1.0	1.41421356237	1.0	1.0	5.09901951359	1.41421356237	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0
stool.control.40C.5	12.409673646	6.63324958071	6.2449979984	8.88819441732	4.24264068712	4.24264068712	3.0	3.0	3.0	0.0	5.83095189485	5.83095189485	5.38516480713	3.0	0.0	3.0	3.0	3.16227766017	3.0	3.0	1.41421356237	3.31662479036	4.35889894354	3.31662479036	2.0	3.16227766017	4.24264068712	2.2360679775	2.2360679775	2.44948974278	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	2.0	0.0
